period,date,Aka,Ako,Hen,Hot,Kil,Kit,Koh,Kor,Kun,Mal,Mei,Mik,Ntr,Ten,Tot
3,2021/10/11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,2021/10/13,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/14,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,2021/10/15,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
3,2021/10/16,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
3,2021/10/17,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
3,2021/10/18,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/10/19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/10/20,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/21,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/22,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/23,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3,2021/10/24,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/26,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/27,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/28,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/29,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/10/31,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/2,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/3,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/4,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/5,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/6,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/7,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/8,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/9,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/10,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/11,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/13,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
3,2021/11/14,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/16,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
